code;name

ar_SA;Arabic (SA)

ar_DZ;Arabic (DZ)
ar_BH;Arabic (BH)
ar_EG;Arabic (EG)
ar_IQ;Arabic (IQ)
ar_JO;Arabic (JO)
ar_KW;Arabic (KW)
ar_LB;Arabic (LB)
ar_LY;Arabic (LY)
ar_MA;Arabic (MA)
ar_OM;Arabic (OM)
ar_QA;Arabic (QA)
ar_SY;Arabic (SY)
ar_TN;Arabic (TN)
ar_AE;Arabic (U.A.E.)
ar_YE;Arabic (YE)

de_DE;German (DE)

de_AT;German (AT)
de_LI;German (LI)
de_LU;German (LU)
de_CH;German (CH)

en_GB;English (GB)

en_AU;English (AU)
en_BZ;English (BZ)
en_CA;English (CA)
en_IE;English (IE)
en_JM;English (JM)
en_NZ;English (NZ)
en_PH;English (PH)
en_ZA;English (ZA)
en_TT;English (TT)
en_US;English (US)
en_ZW;English (ZW)

es_ES;Spanish (ES)

es_AR;Spanish (AR)
es_BO;Spanish (BO)
es_CL;Spanish (CL)
es_CO;Spanish (CO)
es_CR;Spanish (CR)
es_DO;Spanish (DO)
es_EC;Spanish (EC)
es_SV;Spanish (SV)
es_GT;Spanish (GT)
es_HN;Spanish (HN)
es_MX;Spanish (MX)
es_NI;Spanish (NI)
es_PA;Spanish (PA)
es_PY;Spanish (PY)
es_PE;Spanish (PE)
es_PR;Spanish (PR)
es_US;Spanish (US)
es_UY;Spanish (UY)
es_VE;Spanish (VE)

fi_FI;Finnish

fr_FR;French (FR)

fr_BE;French (BE)
fr_CA;French (CA)
fr_LU;French (LU)
fr_MC;French (MC)
fr_CH;French (CH)

it_IT;Italian (IT)

it_CH;Italian (CH)

nl_NL;Dutch (NL)

nl_BE;Dutch (BE)

ru_RU;Russian (RU)

ru_MD;Russian (MD)
ru_UA;Russian (UA)
